timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:55:13.809910,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:14.729743,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:15.689557,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:16.705698,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:17.734256,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:18.696618,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:19.714175,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:20.851139,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:21.829076,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:22.715086,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:23.695167,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:24.721511,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:25.712961,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:26.688201,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:27.745276,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:28.795894,-43,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:29.898245,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:30.876822,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:31.671907,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:32.684171,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:33.674360,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:34.749724,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:35.684136,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:36.798952,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:37.726105,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:38.729378,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:39.668503,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:40.668762,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:41.692150,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:42.776810,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:43.786663,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:44.753518,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:45.713149,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:46.669652,-44,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:47.671727,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:48.662841,-46,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:49.734558,-41,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:50.759570,-40,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:51.735964,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:52.689088,-43,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:53.674962,-43,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:54.699388,-43,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:55.756301,-41,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:56.969559,-46,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:55:57.983222,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:58.728316,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:55:59.682611,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:00.691506,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:01.647039,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:02.668206,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:56:03.574006,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
